CMBD,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC13,HC01_MOE_VC14
19,"Battery Park City, Tribeca, Manhattan",82,94,9,820,0,49,19,0.4,0.7,0.2,1.9,0.0,0.3,0.3
29,"Greenwich Village, Soho, Manhattan",150,193,30,1651,0,171,54,0.7,1.5,0.6,3.7,0.0,1.1,1.0
30,"Lower East Side, Chinatown, Manhattan",401,178,110,1392,6,326,79,1.9,1.4,2.3,3.1,1.8,2.1,1.4
21,"Chelsea, Clinton, Manhattan",293,257,165,1925,1,274,83,1.4,2.0,3.5,4.3,0.3,1.8,1.5
13,"Midtown Business District, Manhattan",266,414,51,3885,2,274,37,1.3,3.2,1.1,8.8,0.6,1.8,0.7
31,"Stuyvesant Town, Turtle Bay, Manhattan",149,129,20,1121,1,102,27,0.7,1.0,0.4,2.5,0.3,0.7,0.5
20,"West Side, Upper West Side, Manhattan",202,191,29,1307,1,187,27,1.0,1.5,0.6,3.0,0.3,1.2,0.5
42,"Upper East Side, Manhattan",128,222,6,1439,3,105,11,0.6,1.7,0.1,3.3,0.9,0.7,0.2
60,"Manhattanville, Hamilton Heights, Manhattan",286,128,58,562,4,279,93,1.4,1.0,1.2,1.3,1.2,1.8,1.7
70,"Central Harlem, Manhattan",607,251,153,714,10,411,183,2.9,1.9,3.2,1.6,3.0,2.7,3.4
48,"East Harlem, Manhattan",648,168,146,685,6,364,257,3.1,1.3,3.1,1.5,1.8,2.3,4.7
71,"Washington Heights, Inwood, Manhattan",496,192,105,871,7,352,169,2.4,1.5,2.2,2.0,2.1,2.3,3.1
18,"CD164, Manhattan",12,7,4,116,0,31,2,0.1,0.1,0.1,0.3,0.0,0.2,0.0
41,"Melrose, Mott Haven, Port Morris, Bronx",730,265,215,721,14,520,213,3.5,2.0,4.5,1.6,4.2,3.4,3.9
44,"Hunts Point, Longwood, Bronx",281,156,178,318,8,221,151,1.3,1.2,3.8,0.7,2.4,1.4,2.8
53,"Morrisania, Crotona Park East, Bronx",460,180,140,308,7,327,174,2.2,1.4,3.0,0.7,2.1,2.1,3.2
32,"Highbridge, Concourse Village, Bronx",701,223,160,780,13,505,120,3.4,1.7,3.4,1.8,3.9,3.3,2.2
62,"University Hts., Fordham, Mt. Hope, Bronx",573,238,136,505,14,427,113,2.8,1.8,2.9,1.1,4.2,2.8,2.1
63,"East Tremont, Belmont, Bronx",440,187,203,472,7,320,90,2.1,1.4,4.3,1.1,2.1,2.1,1.6
36,"Bedford Park, Norwood, Fordham, Bronx",603,275,210,636,3,465,130,2.9,2.1,4.4,1.4,0.9,3.0,2.4
24,"Riverdale, Kingsbridge, Marble Hill, Bronx",158,115,63,484,4,146,21,0.8,0.9,1.3,1.1,1.2,0.9,0.4
45,"Soundview, Parkchester, Bronx",559,309,95,685,8,545,85,2.7,2.4,2.0,1.5,2.4,3.5,1.6
59,"Throgs Nk., Co-op City, Pelham Bay, Bronx",177,138,92,509,7,134,30,0.8,1.1,1.9,1.1,2.1,0.9,0.5
50,"Pelham Pkwy, Morris Park, Laconia, Bronx",260,174,83,384,4,216,43,1.2,1.3,1.7,0.9,1.2,1.4,0.8
58,"Wakefield, Williamsbridge, Bronx",633,332,151,689,8,446,89,3.0,2.6,3.2,1.6,2.4,2.9,1.6
33,"CD226, Bronx",4,4,5,18,0,4,4,0.0,0.0,0.1,0.0,0.0,0.0,0.1
51,"CD227, Bronx",12,3,2,21,0,11,3,0.1,0.0,0.0,0.0,0.0,0.1,0.1
52,"CD228, Bronx",2,0,4,10,0,5,1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2,"Williamsburg, Greenpoint, Brooklyn",322,434,57,1243,4,322,61,1.5,3.3,1.2,2.8,1.2,2.1,1.1
6,"Brooklyn Heights, Fort Greene, Brooklyn",308,196,73,1065,5,265,57,1.5,1.5,1.5,2.4,1.5,1.7,1.0
